model,R0,R0D,p,delta,k,CaseVariance,ProbChainSize1,CVCases,MajorOutbreak,MeanChain,CVChain
standard,2,1.1,0.09999999999999999,9,0.5,10,0.44721359549995793,1.5811388300841898,0.3595985439026025,2.1064150589277606,1.5062346414194023
standard,2,1.1,0.09999999999999999,9,1,6,0.3333333333333333,1.224744871391589,0.5000242234414103,1.999903114448528,1.2246657627139896
standard,2,1.1,0.09999999999999999,9,2,4,0.25,1,0.6180314450756148,1.8944351823696177,1.0514684538401822
standard,2,1.1,0.09999999999999999,9,4,3,0.19753086419753085,0.8660254037844386,0.6980693818140562,1.8103645803268056,0.9492360443877128
mixture,2,1.1,0.09999999999999999,9,0.5,31.869999999999997,0.5248339070756063,2.8226760352544886,0.21551178759363765,2.7373286884103365,2.0699815018520726
mixture,2,1.1,0.09999999999999999,9,1,20.58,0.4375804375804376,2.268259244442751,0.29599251254781334,2.679925716023291,1.7312330365679633
mixture,2,1.1,0.09999999999999999,9,2,14.934999999999999,0.37734183529908777,1.9322913858939597,0.3608386057659233,2.631972761113496,1.5355244392879193
mixture,2,1.1,0.09999999999999999,9,4,12.112499999999997,0.3412140623665047,1.7401508555294851,0.4026518513477041,2.603272450417174,1.4275541323079173
